id,timestamp,scenarioId,turn,model,provider,estimatedInputTokens,actualInputTokens,estimatedOutputTokens,actualOutputTokens,optimizationEnabled,techniquesApplied,estimatedSavings,actualSavings,optimizationEffective,latencyMs,success,error
98b0a0f1-bb7a-4a5a-a032-9419f8db0a46,2025-12-29T12:55:03.980Z,short-01-greeting,1,gpt-4,openai,9,9,1,11,true,,0,0,false,0,true,
6debbf46-8635-4972-afa8-f605c811895c,2025-12-29T12:55:03.981Z,short-02-simple-question,1,gpt-4,openai,14,14,1,16,true,,0,0,false,1,true,
5970b7a6-72d1-4971-9ff3-a639e7267082,2025-12-29T12:55:03.981Z,short-03-followup,1,gpt-4,openai,15,15,1,17,true,,0,0,false,0,true,
451e3412-3333-42a7-af25-e72c6215ab4a,2025-12-29T12:55:03.982Z,short-03-followup,2,gpt-4,openai,70,70,1,19,true,,0,0,false,0,true,
70c2a02a-72f6-432b-808a-854e61749495,2025-12-29T12:55:03.983Z,short-04-with-system,1,gpt-4,openai,29,29,1,16,true,,0,0,false,0,true,
4cc04115-75d7-4e39-bc60-7bf3b383af95,2025-12-29T12:55:03.983Z,short-05-translation,1,gpt-4,openai,18,18,1,20,true,,0,0,false,0,true,
20d9a63c-cb39-47be-9001-141853a44cae,2025-12-29T12:55:03.983Z,long-01-customer-support,1,gpt-4,openai,40,40,1,19,true,,0,0,false,0,true,
e629d7ef-982d-48cb-bfdd-5a9fbcb8791c,2025-12-29T12:55:03.984Z,long-01-customer-support,2,gpt-4,openai,79,79,1,18,true,,0,0,false,1,true,
f61dc6d0-68b4-46b5-b384-a9819d8fcd09,2025-12-29T12:55:03.985Z,long-01-customer-support,3,gpt-4,openai,125,125,1,20,true,,0,0,false,1,true,
ae9fddf4-1076-4db2-86dc-a2268e708eb0,2025-12-29T12:55:03.986Z,long-01-customer-support,4,gpt-4,openai,162,162,1,16,true,,0,0,false,1,true,
2bca304e-e38a-4761-8aee-0fc68c8bd6ac,2025-12-29T12:55:03.987Z,long-01-customer-support,5,gpt-4,openai,213,213,1,20,true,prompt-compression,1,1,true,1,true,
44364905-0485-4131-8043-1f9d9dda702d,2025-12-29T12:55:03.989Z,long-01-customer-support,6,gpt-4,openai,251,251,1,18,true,history-limiting;prompt-compression,15,15,true,2,true,
e6feb3f6-03af-475b-b172-cce5576ad2fb,2025-12-29T12:55:03.989Z,long-02-tutoring-session,1,gpt-4,openai,36,36,1,16,true,,0,0,false,0,true,
bc5f0e78-b7ab-4fb1-9c75-4a612b3eb07c,2025-12-29T12:55:03.990Z,long-02-tutoring-session,2,gpt-4,openai,111,111,1,16,true,,0,0,false,1,true,
416e44d8-f56d-4fb9-9e73-bd25508d0438,2025-12-29T12:55:03.991Z,long-02-tutoring-session,3,gpt-4,openai,192,192,1,26,true,,0,0,false,1,true,
c90fc425-7b48-4226-852a-40b8f0d747a4,2025-12-29T12:55:03.992Z,long-02-tutoring-session,4,gpt-4,openai,284,284,1,19,true,,0,0,false,1,true,
9302bf1f-b8cc-4cba-8921-c6c5317b2f55,2025-12-29T12:55:03.994Z,long-02-tutoring-session,5,gpt-4,openai,398,398,1,39,true,,0,0,false,1,true,
6b416e2f-96bc-43f8-9b7a-1616f6336132,2025-12-29T12:55:03.997Z,long-02-tutoring-session,6,gpt-4,openai,434,434,1,17,true,history-limiting;prompt-compression,12,12,true,3,true,
d840c0f0-a71c-48eb-ba85-70334bc1d530,2025-12-29T12:55:03.998Z,long-02-tutoring-session,7,gpt-4,openai,439,439,1,27,true,history-limiting;prompt-compression,87,87,true,1,true,
01bb2c60-ca43-4c6d-a43a-8d748c8454b2,2025-12-29T12:55:03.999Z,long-03-debugging-session,1,gpt-4,openai,58,58,1,19,true,prompt-compression,6,6,true,1,true,
23d7f75b-48a8-434b-9466-62ffec3788f6,2025-12-29T12:55:04.000Z,long-03-debugging-session,2,gpt-4,openai,122,122,1,29,true,prompt-compression,6,6,true,1,true,
163d9bf1-1fcb-41b9-8c56-d73e11f2fb53,2025-12-29T12:55:04.000Z,long-03-debugging-session,3,gpt-4,openai,207,207,1,23,true,prompt-compression,7,7,true,0,true,
736cff0b-26fc-4a5f-a5b3-01dcf7e0ed39,2025-12-29T12:55:04.002Z,long-03-debugging-session,4,gpt-4,openai,279,279,1,24,true,prompt-compression,7,7,true,1,true,
bb1a27f0-6b52-48ed-a17c-a21eef096e7a,2025-12-29T12:55:04.003Z,long-03-debugging-session,5,gpt-4,openai,352,352,1,20,true,prompt-compression,7,7,true,1,true,
2a412e0b-07ac-49c1-9c3b-26eb0984e8a7,2025-12-29T12:55:04.005Z,long-03-debugging-session,6,gpt-4,openai,391,391,1,18,true,history-limiting;prompt-compression,47,47,true,2,true,
e51a23fa-abb8-4dc1-a2a4-f4de4844f953,2025-12-29T12:55:04.007Z,long-03-debugging-session,7,gpt-4,openai,414,414,1,18,true,history-limiting;prompt-compression,114,114,true,2,true,
7fb5db33-0b17-4df9-8bab-48451225918f,2025-12-29T12:55:04.009Z,code-01-large-function,1,gpt-4,openai,312,312,1,18,true,prompt-compression,38,38,true,2,true,
faadcf3f-4cd0-46f5-911c-7a4e764c8bbb,2025-12-29T12:55:04.010Z,code-02-multi-file,1,gpt-4,openai,308,308,1,20,true,prompt-compression,35,35,true,1,true,
123a3662-0883-4ded-b655-69c6ebe8288a,2025-12-29T12:55:04.011Z,tool-01-function-calling,1,gpt-4,openai,33,33,1,17,true,,0,0,false,1,true,
2b7e5d5b-de37-4992-a804-1870aa2c9816,2025-12-29T12:55:04.011Z,tool-02-multi-tool,1,gpt-4,openai,44,44,1,20,true,,0,0,false,0,true,
fd8e07c5-78b6-4ae9-8ee1-93ca14901cc7,2025-12-29T12:55:04.011Z,tool-02-multi-tool,2,gpt-4,openai,89,89,1,22,true,,0,0,false,0,true,
2f7b3cfb-4a68-47a0-8e5e-d8d92e9c700c,2025-12-29T12:55:04.012Z,tool-02-multi-tool,3,gpt-4,openai,137,137,1,26,true,,0,0,false,1,true,
5a716019-20ae-4eb3-8a23-08cd516a9067,2025-12-29T12:55:04.012Z,edge-01-empty-input,1,gpt-4,openai,7,7,1,9,true,,0,0,false,0,true,
97aad7f1-3a39-49f2-9fbc-75be97f03ea8,2025-12-29T12:55:04.012Z,edge-02-unicode-heavy,1,gpt-4,openai,49,49,1,51,true,,0,0,false,0,true,
60d51a73-b8a1-4408-8100-a20831205834,2025-12-29T12:55:04.013Z,edge-04-special-chars,1,gpt-4,openai,33,33,1,29,true,,0,0,false,0,true,
048df65c-3e23-4fb1-ac2f-ad61395c6f42,2025-12-29T12:55:04.013Z,edge-05-whitespace,1,gpt-4,openai,15,15,1,17,true,prompt-compression,6,6,true,0,true,
187e8b61-6f1a-442a-b8cb-d40be764f444,2025-12-29T12:55:04.013Z,replay-01-known-baseline,1,gpt-4,openai,25,25,1,20,true,,0,0,false,0,true,
5149c900-fc70-4da0-88c0-03c67f63b75e,2025-12-29T12:55:04.014Z,replay-02-structured-data,1,gpt-4,openai,37,37,1,26,true,toon-format,13,13,true,1,true,
e6eb4802-0015-40a7-807a-f0938fc26b95,2025-12-29T12:55:04.014Z,replay-03-compression-target,1,gpt-4,openai,27,27,1,24,true,prompt-compression,12,12,true,0,true,
2ba0cd40-fdb3-4d6f-8eba-25b4274eff8f,2025-12-29T12:55:04.014Z,replay-04-system-heavy,1,gpt-4,openai,105,105,1,10,true,,0,0,false,0,true,
e6f009ff-fbdf-4995-8ff8-2e0cc5f779c9,2025-12-29T12:55:04.015Z,replay-05-history-pruning,1,gpt-4,openai,28,28,1,20,true,,0,0,false,0,true,
ba3284b7-2906-4441-a0f6-626230fbd1ce,2025-12-29T12:55:04.015Z,replay-05-history-pruning,2,gpt-4,openai,57,57,1,20,true,,0,0,false,0,true,
8fa3ab41-2f6a-459f-bd56-abcb8568bad8,2025-12-29T12:55:04.015Z,replay-05-history-pruning,3,gpt-4,openai,86,86,1,20,true,,0,0,false,0,true,
b3273115-75d4-4b5b-9e36-b83e2157aaf3,2025-12-29T12:55:04.016Z,replay-05-history-pruning,4,gpt-4,openai,115,115,1,20,true,,0,0,false,1,true,
efc9295b-6045-47b7-9e75-9e2bad230399,2025-12-29T12:55:04.016Z,replay-05-history-pruning,5,gpt-4,openai,144,144,1,20,true,,0,0,false,0,true,
3d325264-9861-4dc8-ac7e-cbd59ad04e16,2025-12-29T12:55:04.017Z,replay-05-history-pruning,6,gpt-4,openai,158,158,1,20,true,history-limiting,15,15,true,1,true,
856584f9-aced-450f-89cc-13baa4a2423b,2025-12-29T12:55:04.018Z,replay-05-history-pruning,7,gpt-4,openai,158,158,1,20,true,history-limiting,44,44,true,1,true,
c87f4922-7cac-47d8-aea9-0874d245aadc,2025-12-29T12:55:04.018Z,replay-05-history-pruning,8,gpt-4,openai,158,158,1,20,true,history-limiting,73,73,true,0,true,
