id,timestamp,scenarioId,turn,model,provider,estimatedInputTokens,actualInputTokens,estimatedOutputTokens,actualOutputTokens,optimizationEnabled,techniquesApplied,estimatedSavings,actualSavings,optimizationEffective,latencyMs,success,error
3f41d8d5-25c6-4bc8-ac6c-ca2cdfb140de,2025-12-29T12:51:37.261Z,short-01-greeting,1,gpt-4,openai,9,9,1,11,true,,0,0,false,1,true,
eb0dfc1d-7618-4331-9598-71485a7edddf,2025-12-29T12:51:37.261Z,short-02-simple-question,1,gpt-4,openai,14,14,1,16,true,,0,0,false,0,true,
03cbdf4c-d8fc-47c3-ac60-7818421d24aa,2025-12-29T12:51:37.262Z,short-03-followup,1,gpt-4,openai,15,15,1,17,true,,0,0,false,0,true,
49386010-68ff-4ad7-8a07-c1e4a0c6e910,2025-12-29T12:51:37.262Z,short-03-followup,2,gpt-4,openai,70,70,1,19,true,,0,0,false,0,true,
12f1bb25-b9e1-4274-907b-abe3c76d8a11,2025-12-29T12:51:37.262Z,short-04-with-system,1,gpt-4,openai,29,29,1,16,true,,0,0,false,0,true,
c3649d13-ff82-4958-8630-e719b5b4c9a8,2025-12-29T12:51:37.263Z,short-05-translation,1,gpt-4,openai,18,18,1,20,true,,0,0,false,1,true,
54c14e9f-46ab-4ebe-bc04-b3f1b84531a5,2025-12-29T12:51:37.263Z,long-01-customer-support,1,gpt-4,openai,40,40,1,19,true,,0,0,false,0,true,
04c69338-c05d-40c9-80d6-83c8ad007e3b,2025-12-29T12:51:37.263Z,long-01-customer-support,2,gpt-4,openai,79,79,1,18,true,,0,0,false,0,true,
1c180271-74a5-4406-a782-7604db4639fc,2025-12-29T12:51:37.264Z,long-01-customer-support,3,gpt-4,openai,125,125,1,20,true,,0,0,false,0,true,
b10c92e2-d8f7-4adf-84da-6cbafdc32104,2025-12-29T12:51:37.265Z,long-01-customer-support,4,gpt-4,openai,162,162,1,16,true,,0,0,false,1,true,
d81e81df-b0f6-4fd2-b635-5c1016db2f58,2025-12-29T12:51:37.266Z,long-01-customer-support,5,gpt-4,openai,214,214,1,20,true,,0,0,false,1,true,
c3cd88ca-debf-45af-bfbe-3038844c01b5,2025-12-29T12:51:37.267Z,long-01-customer-support,6,gpt-4,openai,252,252,1,18,true,history-limiting,14,14,true,1,true,
770d3ffc-9664-4119-a94e-fe7cddd26a23,2025-12-29T12:51:37.267Z,long-02-tutoring-session,1,gpt-4,openai,36,36,1,16,true,,0,0,false,0,true,
febd11dc-075c-45b9-8ede-9b7a66eb219f,2025-12-29T12:51:37.268Z,long-02-tutoring-session,2,gpt-4,openai,111,111,1,16,true,,0,0,false,1,true,
33874a8c-73a4-4154-b28b-a93d9610cef7,2025-12-29T12:51:37.269Z,long-02-tutoring-session,3,gpt-4,openai,192,192,1,26,true,,0,0,false,1,true,
8ba9ee54-e8ea-4fa7-8359-75355d894b96,2025-12-29T12:51:37.270Z,long-02-tutoring-session,4,gpt-4,openai,284,284,1,19,true,,0,0,false,1,true,
035c1d79-22e0-422b-a368-e0277774ad85,2025-12-29T12:51:37.271Z,long-02-tutoring-session,5,gpt-4,openai,398,398,1,39,true,,0,0,false,1,true,
b8369aae-3776-46a7-be6b-99f9c8ef634a,2025-12-29T12:51:37.273Z,long-02-tutoring-session,6,gpt-4,openai,435,435,1,17,true,history-limiting,11,11,true,2,true,
f6cdb874-9b2d-4e59-9f95-7fe8ca7f9c76,2025-12-29T12:51:37.275Z,long-02-tutoring-session,7,gpt-4,openai,440,440,1,27,true,history-limiting,86,86,true,2,true,
5a595fc5-cd7b-41e4-a82c-984e967f60f4,2025-12-29T12:51:37.276Z,long-03-debugging-session,1,gpt-4,openai,49,49,1,19,true,prompt-compression,15,15,true,1,true,
6403157e-2112-4cd5-b31b-5c20a3eb4711,2025-12-29T12:51:37.276Z,long-03-debugging-session,2,gpt-4,openai,113,113,1,29,true,prompt-compression,15,15,true,0,true,
fd57aef5-5c31-4725-b7dc-de026f94a262,2025-12-29T12:51:37.277Z,long-03-debugging-session,3,gpt-4,openai,199,199,1,25,true,prompt-compression,15,15,true,1,true,
ab343efb-e7c4-49d9-9765-60a13428650a,2025-12-29T12:51:37.277Z,long-03-debugging-session,4,gpt-4,openai,271,271,1,24,true,prompt-compression,15,15,true,0,true,
20c967cd-be0b-436c-9531-bebb22404770,2025-12-29T12:51:37.278Z,long-03-debugging-session,5,gpt-4,openai,344,344,1,20,true,prompt-compression,15,15,true,0,true,
9d8261aa-48b8-4b9e-b1a3-b15672c5445d,2025-12-29T12:51:37.279Z,long-03-debugging-session,6,gpt-4,openai,398,398,1,18,true,history-limiting,40,40,true,1,true,
01768994-9961-4e4c-8d68-7ea397dc0a46,2025-12-29T12:51:37.280Z,long-03-debugging-session,7,gpt-4,openai,424,424,1,18,true,history-limiting,104,104,true,1,true,
d13d62df-7277-4927-b57e-7e39effd9844,2025-12-29T12:51:37.281Z,code-01-large-function,1,gpt-4,openai,202,202,1,18,true,prompt-compression,148,148,true,1,true,
5c51ca1d-340f-48ec-870e-729e64eec246,2025-12-29T12:51:37.282Z,code-02-multi-file,1,gpt-4,openai,208,208,1,20,true,prompt-compression,135,135,true,1,true,
bb4d0245-4fd9-4304-b3e3-95743d6fac29,2025-12-29T12:51:37.282Z,tool-01-function-calling,1,gpt-4,openai,33,33,1,17,true,,0,0,false,0,true,
fd51528d-e098-4cfb-8f50-0bb10efc5a76,2025-12-29T12:51:37.282Z,tool-02-multi-tool,1,gpt-4,openai,44,44,1,20,true,,0,0,false,0,true,
7d2aeefb-ee08-4339-b78e-3beaf8355947,2025-12-29T12:51:37.283Z,tool-02-multi-tool,2,gpt-4,openai,89,89,1,22,true,,0,0,false,0,true,
18ec0b8e-0485-4667-b086-dd02f6987fa3,2025-12-29T12:51:37.283Z,tool-02-multi-tool,3,gpt-4,openai,137,137,1,26,true,,0,0,false,0,true,
ae8b15a5-7f3e-4579-ac1c-f729817c9c0c,2025-12-29T12:51:37.283Z,edge-01-empty-input,1,gpt-4,openai,7,7,1,9,true,,0,0,false,0,true,
e266ddf8-3c21-4a83-9abb-5e6c593bacd8,2025-12-29T12:51:37.284Z,edge-02-unicode-heavy,1,gpt-4,openai,49,49,1,51,true,,0,0,false,1,true,
